SYST_TRAJ_ID,FLPL_CALL_SIGN,FLPL_NUMB,FLPL_AIRC_TYPE,REQS_FLGT_LEVL,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,TRANSIT,MODES_ADRESS,FILE_DATE,frontiere_algerienne,premier_plot
202403190000668,RYR62HC,539910.0,B738,,LIMF,LICA,,5055120.0,20240319,False,0502
202403190002428,3AMAJ,,,,,,,5062725.0,20240319,False,0729
202403190003690,ACA854,556824.0,B789,,CYYZ,EGLL,,12594905.0,20240319,False,0829
202403190004942,PHBRA,557326.0,PC12,,EHBD,EPPO,,4740845.0,20240319,False,0915
202403190005900,OOJRB,,,,,,,4500034.0,20240319,False,0946
202403190006090,RYR98SL,535604.0,B738,,LIMF,LIBR,,5055120.0,20240319,False,0951
202403190007464,EVA096,558610.0,B789,,LIMC,RCTP,,9015420.0,20240319,False,1035
202403190007996,UAL14,557766.0,B763,,KEWR,EGLL,,11066747.0,20240319,False,1053
202403190010205,AFR34FB,529941.0,E190,,EDDB,LFPG,,3769707.0,20240319,False,1215
202403190010614,WMN884,558485.0,F900,,EGPE,LEBL,,11283671.0,20240319,False,1229
202403190010854,FHBCD1,556244.0,DA42,,LFMV,LFMD,,3769411.0,20240319,False,1238
202403190010870,EZY39FZ,538863.0,A20N,,EGCC,HESH,,4224651.0,20240319,False,1238
202403190010964,DLH6NT,552983.0,A319,,EDDF,EDDW,,3957831.0,20240319,False,1241
202403190012434,FWI70Q,560521.0,A359,,LFPO,SOCA,,3775509.0,20240319,False,1325
202403190014806,RJA118,547811.0,A319,,LFPG,OJAI,,7604016.0,20240319,False,1430
202403190017797,TRA17U,542799.0,A21N,,EHAM,LEMG,,4744766.0,20240319,False,1557
202403190018420,FGUXS,,,,,,,3756786.0,20240319,False,1619
202403190018628,MODEA_7000,,,,,,,,20240319,False,1626
202403190019750,FHPHX,530589.0,H25B,,EPKK,LFPB,,3783927.0,20240319,False,1710
202403190020876,AEZ381W,548699.0,B738,,LIEO,LIML,,5055472.0,20240319,False,1807
202403190023425,SRR6373,544130.0,B763,,LFLL,EDDK,,4575010.0,20240319,False,2106
202403190000184,BCS5NR,518374.0,B752,,LIMC,EGNX,,4459461.0,20240319,False,0016
202403190000475,RGN1NS,530047.0,A321,,EDDK,LFRN,,5055389.0,20240319,False,0358
202403190000847,LGL691M,527064.0,DH8D,,ELLX,LIMC,,5046474.0,20240319,False,0531
202403190002148,VLG43TK,534810.0,A321,,LEBL,LFPO,,3428937.0,20240319,False,0711
202403190002514,VJT993,531713.0,GLEX,,TAPA,EGGW,,5054805.0,20240319,False,0734
202403190003748,AFR14PR,539362.0,A320,,LFPG,LOWW,,3772906.0,20240319,False,0832
202403190003830,FSDXY,,,,,,,3896639.0,20240319,False,0835
202403190005063,TRA6A,544153.0,B738,,LEVC,EHAM,,4741501.0,20240319,False,0918
202403190005947,PNC3T,529653.0,C56X,,LSGG,LGAV,,4999650.0,20240319,False,0947
202403190006227,DLH438,558591.0,A333,,EDDF,KDFW,,3958131.0,20240319,False,0956
202403190006391,EXS1KR,536015.0,B738,,EGBB,LTAI,,4221635.0,20240319,False,1001
202403190006806,FMY8723,,,,,,,3770024.0,20240319,False,1013
202403190008125,DLA3PR,536523.0,E195,,EDDM,LSGG,,3147759.0,20240319,False,1058
202403190008524,LXZAP,531757.0,PC24,,EDDM,LIRP,,5046945.0,20240319,False,1112
202403190009476,MODEA_7002,,,,,,,,20240319,False,1148
202403190010503,MODEA_6100,,,,,,,,20240319,False,1225
