SYST_TRAJ_ID;FLPL_CALL_SIGN;FLPL_NUMB;FLPL_AIRC_TYPE;REQS_FLGT_LEVL;FLPL_DEPR_AIRP;FLPL_ARRV_AIRP;TRANSIT;MODES_ADRESS;FILE_DATE
202403220000484;SRN1996;643623;AT73;;EDDK;LFSB;;4769251;20240322
202403220000915;AAL754;659932;B788;;KPHL;LFPG;;11276406;20240322
202403220001256;ACA832;659408;A333;;CYUL;EBBR;;12607776;20240322
202403220001727;WUK5MR;632062;A21N;;EGGW;LZKZ;;4226396;20240322
202403220002786;EWG61WH;630759;A21N;;EDDL;HEGN;;3953827;20240322
202403220003241;FHDLG;;;;;;;550734;20240322
202403220003300;KLM83F;638941;B738;;EHAM;EGBB;;4735402;20240322
202403220004306;GTI8064;661385;B77L;;EBLG;LIMC;;11105006;20240322
202403220005786;RYR7WH;640169;B738;;LIME;EGSS;;5055773;20240322
202403220006992;FHNNY;;;;;;;3782072;20240322
202403220007013;FCA1FJ;631834;BE40;;LSGS;LFSN;;4669419;20240322
202403220007358;HBPPJ;;;;;;;4925739;20240322
202403220009423;FHTOY;;;;;;;3788248;20240322
202403220011092;HBZOB;;;;;;;4932465;20240322
202403220013897;OKPTT;659528;PC12;;LKPR;LSZA;;4838241;20240322
202403220016019;EWG7E;646612;A320;;EDDK;EGLL;;5055803;20240322
202403220017430;MODES_5055110;;;;;;;5055110;20240322
202403220021968;RYR7EG;651124;B738;;LIRP;LROP;;5055020;20240322
202403220022448;TVF26PH;644088;B738;;LFPO;LFBZ;;3761393;20240322
202403220022640;EZY46YM;653128;A320;;EGGW;LSGG;;4221586;20240322
202403220022823;FBXHF;;;;;;;3693797;20240322
202403220023061;OMA153;662703;A332;;OOMS;LSZH;;7389356;20240322
202403220025194;EXS8WC;645477;B738;;LKPR;EGNX;;4224730;20240322
202403220025464;BCS6DP;666494;B734;;GMTT;LFPG;;3425865;20240322
202403220026505;AFR88BC;655607;E190;;LFPG;ESGG;;3769711;20240322
202403220027322;RYR72KP;649806;B38M;;LPPT;EGSS;;5024094;20240322
202403220000747;AFR89XD;644058;A320;;LFMN;LFPG;;3746543;20240322
202403220001684;FHLVH;;;;;;;3780263;20240322
