SYST_TRAJ_ID,FLPL_CALL_SIGN,FLPL_NUMB,FLPL_AIRC_TYPE,REQS_FLGT_LEVL,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,TRANSIT,MODES_ADRESS,FILE_DATE,frontiere_algerienne,premier_plot
202403210024357,IHFRT,,,,,,,3147433.0,20240321,False,2203
202403210000977,MARDN,596912.0,FA7X,,MYNN,LSGS,,4344830.0,20240321,False,0549
202403210001956,RYR750R,616377.0,B738,,LEZL,LIMF,,5024345.0,20240321,False,0657
202403210003085,DUKE66,596049.0,BE20,,ETOU,ETNG,,11404530.0,20240321,False,0803
202403210004027,NJE5BF,623846.0,E55P,,LFPB,LSZS,,4800774.0,20240321,False,0838
202403210005357,TRITN03,,,,,,,4519586.0,20240321,False,0923
202403210007625,BAW965,608673.0,A320,,EDDH,EGLL,,4221308.0,20240321,False,1033
202403210008467,HBPRL,,,,,,,4925793.0,20240321,False,1101
202403210008482,ECJUO,,,,,,,3437334.0,20240321,False,1101
202403210009660,DLH5PV,621151.0,A319,,EDDM,EDDS,,3957836.0,20240321,False,1144
202403210011997,MODEA_7000,,,,,,,,20240321,False,1304
202403210014636,MODES_3706492,,,,,,,3706492.0,20240321,False,1418
202403210016282,CFG9CP,605990.0,B753,,GCFV,EDDL,,3951084.0,20240321,False,1505
202403210016900,DLH375,610889.0,CRJ9,,EDNY,EDDF,,3952078.0,20240321,False,1523
202403210017125,MODEA_4260,,,,,,,,20240321,False,1530
202403210017669,FJAGF,,,,,,,3711581.0,20240321,False,1547
202403210019008,OONCB,,,,,,,4503650.0,20240321,False,1633
202403210020013,N556L,,,,,,,10950319.0,20240321,False,1710
202403210020778,VLG5AQ,604313.0,A319,,LICC,LIRQ,,3428610.0,20240321,False,1743
202403210020998,LDX344C,595931.0,E550,,LSMP,LFMP,,4458039.0,20240321,False,1753
202403210021172,VJH373,627271.0,C56X,,LSGG,EDDM,,3987718.0,20240321,False,1804
202403210021408,AEA94SR,600519.0,B738,,GCXO,LEBB,,3437329.0,20240321,False,1819
202403210021631,RYR4DN,598104.0,B738,,LIBP,LIME,,5055119.0,20240321,False,1832
202403210022169,RYR3004,609560.0,B738,,EGSS,LIRA,,5054974.0,20240321,False,1906
202403210023083,AUA34R,609379.0,A320,,LEBL,LOWW,,4456970.0,20240321,False,2007
202403210003080,CAO1035,622121.0,B77L,,ZSPD,LFPG,,7867319.0,20240321,False,0802
202403210003377,EJU569P,615180.0,A319,,LFQQ,LFBO,,4456606.0,20240321,False,0815
202403210004534,DLH1VN,613405.0,A320,,LIMC,EDDF,,3958436.0,20240321,False,0856
202403210004602,OOSDV,593569.0,B350,,LFPB,LFRM,,4508822.0,20240321,False,0858
202403210004781,UAE69T,623541.0,A388,,KIAH,OMDB,,9004211.0,20240321,False,0904
202403210005686,RYR40NA,615348.0,B738,,LEMD,EIDW,,5024204.0,20240321,False,0933
202403210006611,IGIFE,,,,,,,3146430.0,20240321,False,1001
202403210008090,TVF8393,597892.0,B738,,DTTJ,LFPO,,3789593.0,20240321,True,1048
202403210008859,CHX54,,,,,,,4067295.0,20240321,False,1113
202403210010273,FGORM,,,,,,,3750444.0,20240321,False,1206
202403210010765,APX472N,627771.0,C525,,LSGG,EGKB,,4226958.0,20240321,False,1224
202403210011070,AFR15ZN,609650.0,A321,,LFPG,LFMT,,3755028.0,20240321,False,1235
202403210011552,MODEA_7000,,,,,,,,20240321,False,1251
202403210014487,SAMU63,,,,,,,3748070.0,20240321,False,1415
202403210015185,FGKHY,,,,,,,3746040.0,20240321,False,1434
202403210016726,DLH6EK,610511.0,A320,,ESGG,EDDF,,3958436.0,20240321,False,1518
202403210017183,AFR88HE,596683.0,E170,,LFLL,LFRN,,3770084.0,20240321,False,1532
202403210019198,SAMU83,,,,,,,3774912.0,20240321,False,1639
202403210021347,CTM1071,624496.0,A332,,EPRZ,LFMI,,3896744.0,20240321,False,1815
202403210022102,A901,,,,,,,3407796.0,20240321,False,1902
202403210022484,IBE31KA,630849.0,A20N,,LEMD,EDDL,,3433219.0,20240321,False,1928
202403210022796,SAS812,601473.0,A20N,,EGLL,ENGM,,5025243.0,20240321,False,1949
202403210024162,JOKER32,,,,,,,4163882.0,20240321,False,2136
202403210024249,DLH2NW,610536.0,A319,,EDDF,LYBE,,3958155.0,20240321,False,2146
202403210001264,DLH2FN,612983.0,A319,,EDDF,EHAM,,3957831.0,20240321,False,0612
202403210002265,ECGJ5,,,,,,,3432600.0,20240321,False,0716
202403210004431,CTM001,562604.0,FA7X,,LFPV,EBBR,,3897101.0,20240321,False,0853
202403210004754,CFG5AD,607495.0,A320,,EDDM,LPMA,,3957857.0,20240321,False,0903
202403210005964,HBLVL,626502.0,DA42,,LSZA,LSZA,,4923193.0,20240321,False,0942
202403210010170,VLG6340,596009.0,A320,,LEBL,LIMC,,5055319.0,20240321,False,1202
202403210013108,AFR67FZ,612256.0,A320,,ESSA,LFPG,,3746549.0,20240321,False,1337
202403210013312,IRA711,607364.0,A332,,OIIE,EGLL,,7546177.0,20240321,False,1343
202403210016050,AEA21PL,605774.0,B738,,LEMD,EHAM,,3432578.0,20240321,False,1458
202403210018062,JSG756,622940.0,C650,,LFPB,LIML,,4659265.0,20240321,False,1601
202403210018164,DLH1MR,612719.0,A321,,EDDF,EPKK,,3958357.0,20240321,False,1604
202403210018217,MODEA_20,,,,,,,,20240321,False,1606
202403210019573,DLA6CP,598738.0,E190,,LIPQ,EDDF,,3147762.0,20240321,False,1653
