SYST_TRAJ_ID,FLPL_CALL_SIGN,FLPL_NUMB,FLPL_AIRC_TYPE,REQS_FLGT_LEVL,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,TRANSIT,MODES_ADRESS,FILE_DATE,frontiere_algerienne,premier_plot
202403220000484,SRN1996,643623.0,AT73,,EDDK,LFSB,,4769251.0,20240322,False,0350
202403220000915,AAL754,659932.0,B788,,KPHL,LFPG,,11276406.0,20240322,False,0528
202403220001256,ACA832,659408.0,A333,,CYUL,EBBR,,12607776.0,20240322,False,0600
202403220001727,WUK5MR,632062.0,A21N,,EGGW,LZKZ,,4226396.0,20240322,False,0628
202403220002786,EWG61WH,630759.0,A21N,,EDDL,HEGN,,3953827.0,20240322,False,0730
202403220003241,FHDLG,,,,,,,550734.0,20240322,False,0751
202403220003300,KLM83F,638941.0,B738,,EHAM,EGBB,,4735402.0,20240322,False,0753
202403220004306,GTI8064,661385.0,B77L,,EBLG,LIMC,,11105006.0,20240322,False,0829
202403220005786,RYR7WH,640169.0,B738,,LIME,EGSS,,5055773.0,20240322,False,0914
202403220006992,FHNNY,,,,,,,3782072.0,20240322,False,0946
202403220007013,FCA1FJ,631834.0,BE40,,LSGS,LFSN,,4669419.0,20240322,False,0947
202403220007358,HBPPJ,,,,,,,4925739.0,20240322,False,0955
202403220009423,FHTOY,,,,,,,3788248.0,20240322,False,1050
202403220011092,HBZOB,,,,,,,4932465.0,20240322,False,1141
202403220013897,OKPTT,659528.0,PC12,,LKPR,LSZA,,4838241.0,20240322,False,1307
202403220016019,EWG7E,646612.0,A320,,EDDK,EGLL,,5055803.0,20240322,False,1401
202403220017430,MODES_5055110,,,,,,,5055110.0,20240322,False,1435
202403220021968,RYR7EG,651124.0,B738,,LIRP,LROP,,5055020.0,20240322,False,1639
202403220022448,TVF26PH,644088.0,B738,,LFPO,LFBZ,,3761393.0,20240322,False,1655
202403220022640,EZY46YM,653128.0,A320,,EGGW,LSGG,,4221586.0,20240322,False,1701
202403220022823,FBXHF,,,,,,,3693797.0,20240322,False,1708
202403220023061,OMA153,662703.0,A332,,OOMS,LSZH,,7389356.0,20240322,False,1715
202403220025194,EXS8WC,645477.0,B738,,LKPR,EGNX,,4224730.0,20240322,False,1913
202403220025464,BCS6DP,666494.0,B734,,GMTT,LFPG,,3425865.0,20240322,False,1934
202403220026505,AFR88BC,655607.0,E190,,LFPG,ESGG,,3769711.0,20240322,False,2046
202403220027322,RYR72KP,649806.0,B38M,,LPPT,EGSS,,5024094.0,20240322,False,2222
202403220000747,AFR89XD,644058.0,A320,,LFMN,LFPG,,3746543.0,20240322,False,0509
202403220001684,FHLVH,,,,,,,3780263.0,20240322,False,0622
202403220002609,EZY58VP,654475.0,A319,,EGKK,LEBL,,4198370.0,20240322,False,0720
202403220003064,CTM3920,659384.0,TBM7,,LFBD,LFBG,,3897342.0,20240322,False,0743
202403220003554,SWC981,,,,,,,4893319.0,20240322,False,0803
202403220005718,FMMCB,,,,,,,3845102.0,20240322,False,0912
202403220006676,FHCMD,,,,,,,3770755.0,20240322,False,0938
202403220008686,SAMU34,,,,,,,3775089.0,20240322,False,1030
202403220009224,THY99D,649645.0,B77W,,KMIA,LTFM,,4958538.0,20240322,False,1044
202403220013647,EJU45UL,643466.0,A320,,LFBD,EGKK,,4457192.0,20240322,False,1300
202403220013856,WMT1006,645664.0,A21N,,LRCL,EDFH,,5055628.0,20240322,False,1306
202403220013997,JFA99D,632351.0,PC12,,LIPE,LFLY,,5046979.0,20240322,False,1310
202403220016170,FGHFC,,,,,,,3742882.0,20240322,False,1404
202403220016291,EIN55N,646235.0,A320,,LFLL,EIDW,,5022355.0,20240322,False,1407
202403220018511,MODEA_4412,,,,,,,,20240322,False,1503
202403220018529,LGL9513,630857.0,DH8D,,ELLX,EDDH,,5046489.0,20240322,False,1503
202403220018630,VLG8604,648116.0,A21N,,LFPO,LEGR,,3437391.0,20240322,False,1505
202403220019357,VIR24M,660832.0,B789,,KLAX,EGLL,,4223857.0,20240322,False,1525
202403220020960,AFR1644,631694.0,E190,,LFLL,LFBO,,3769705.0,20240322,False,1609
202403220023560,RYR1871,647839.0,B738,,LZIB,EHEH,,4768289.0,20240322,False,1734
202403220023938,DLH3KT,635244.0,CRJ9,,EDDM,LFSB,,3952087.0,20240322,False,1751
202403220024702,SWR59G,646974.0,BCS3,,LSGG,EDDF,,4921349.0,20240322,False,1836
202403220024959,RYR28SK,651240.0,B738,,LIMC,LICC,,5054956.0,20240322,False,1854
202403220025414,DLH1529,656870.0,E190,,EGAC,EDDF,,3953768.0,20240322,False,1929
202403220025672,RYR46YZ,640674.0,B738,,LEVC,LIRP,,5055046.0,20240322,False,1948
202403220027078,RYR9QH,642988.0,A320,,LIME,LDZA,,5055156.0,20240322,False,2145
202403220000428,BCS4908,642982.0,B738,,EBBR,LFSB,,5023446.0,20240322,False,0332
202403220000926,RYR8NL,644554.0,B38M,,EDLV,GMAD,,5055234.0,20240322,False,0530
