Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
0174,F,946,LFPG,EDDB,AFR69NH  ,Z,A321   ,Z  ,FGTAZ    ,,240114,AA55340478,,,,,,,,
0175,F,1422,LFPG,LHBP,AFR1294  ,Z,A320   ,Z  ,FGKXZ    ,,240114,AA55345598,,,,,,,,
0180,F,234,FACT,EGLL,BAW58L   ,Z,A35K   ,Z  ,GXWBC    ,,240115,AA55353603,,,,,,,,
0183,F,1857,LFPG,RKSI,AAR502   ,Z,A359   ,Z  ,HL757    ,,240114,AA55351813,,,,,,,,
0184,F,1909,LFPG,RJTT,ANA216   ,Z,B789   ,Z  ,JA933    ,,240114,AA55353938,,,,,,,,
0186,F,1920,LFPG,ZBAA,CCA934   ,Z,B77W   ,Z  ,B2040    ,,240114,AA55354741,,,,,,,,
0187,F,1855,LFGA,EDNY,LHB1     ,Z,E55P   ,Z  ,DCLAM    ,,240114,AA55326960,,,,,,,,
0191,F,1954,LFPG,VIDP,AIC142   ,Z,B788   ,Z  ,VTANT    ,,240114,AA55353230,,,,,,,,
0198,F,523,FAOR,EGLL,BAW54    ,Z,B789   ,Z  ,GZBKM    ,,240115,AA55356278,,,,,,,,
0200,F,328,HUEN,EHAM,KLM536   ,Z,A332   ,Z  ,PHAOD    ,,240115,AA55354269,,,,,,,,
0202,F,2115,LFOB,EIDW,RYR594E  ,Z,B738   ,Z  ,EIEBL    ,,240114,AA55351242,,,,,,,,
0203,F,220,FKYS,EBBR,BEL12B   ,Z,A333   ,Z  ,OOSFB    ,,240115,AA55352658,,,,,,,,
0210,F,450,HRYR,EGLL,RWD710   ,Z,A333   ,Z  ,9XRWP    ,,240115,AA55355861,,,,,,,,
0217,F,447,FZAA,EBBR,BEL3KR   ,Z,A333   ,Z  ,OOSFH    ,,240115,AA55354817,,,,,,,,
0218,F,808,FAOR,EHAM,KLM592   ,Z,B789   ,Z  ,PHBHI    ,,240115,AA55355911,,,,,,,,
0219,F,2242,LFPG,MMMX,AMX004   ,Z,B789   ,Z  ,N183A    ,,240114,AA55357312,,,,,,,,
0225,F,2232,LFPG,LIPZ,AFR1326  ,Z,BCS3   ,Z  ,FHZUH    ,,240115,AA55353302,,,,,,,,
0232,F,733,HKJK,EGLL,KQA102   ,Z,B788   ,Z  ,5YKZJ    ,,240115,AA55353982,,,,,,,,
0255,F,127,LFPG,LTFJ,FDX4610  ,Z,B738   ,Z  ,SERLM    ,,240115,AA55344274,,,,,,,,
0331,F,456,LFBD,LKPR,RYR62WB  ,Z,B738   ,Z  ,9HQDG    ,,240115,AA55360571,,,,,,,,
0334,F,506,LFSB,EBAW,HBJFS    ,Z,FA7X   ,Z  ,HBJFS    ,,240115,AA55357108,,,,,,,,
0339,F,517,LFBO,EHAM,KLM58L   ,Z,E190   ,Z  ,PHEZG    ,,240115,AA55353753,,,,,,,,
0341,F,504,LFBD,EHAM,KLM76A   ,Z,E190   ,Z  ,PHEZL    ,,240115,AA55353748,,,,,,,,
0350,F,519,LFOB,OJAI,RYR9352  ,Z,B738   ,Z  ,9HQBD    ,,240115,AA55361245,,,,,,,,
0365,F,523,LFRS,EHAM,KLM1454  ,Z,E295   ,Z  ,PHNXS    ,,240115,AA55353901,,,,,,,,
0370,F,530,LFPB,LTBA,ASJ05TV  ,Z,C68A   ,Z  ,FHATV    ,,240115,AA55344501,,,,,,,,
0386,F,539,LFMN,EHAM,KLM10Z   ,Z,E75L   ,Z  ,PHEXN    ,,240115,AA55363352,,,,,,,,
0387,F,538,LFML,EHAM,KLM1264  ,Z,E295   ,Z  ,PHNXF    ,,240115,AA55354143,,,,,,,,
0390,F,554,LFPO,LTFM,TVF90ZL  ,Z,B738   ,Z  ,FHTVP    ,,240115,AA55356184,,,,,,,,
0393,F,558,LFST,EHAM,AIA6768  ,Z,E145   ,Z  ,FHYOG    ,,240115,AA55349087,,,,,,,,
0394,F,608,LFPG,EDDM,DLH08P   ,Z,A320   ,Z  ,DAIUD    ,,240115,AA55364836,,,,,,,,
0398,F,629,LFPG,LSZH,SWR511P  ,Z,E290   ,Z  ,HBAZH    ,,240115,AA55347550,,,,,,,,
0401,F,617,LFST,LFLL,AFR1689  ,Z,E170   ,Z  ,FHBXF    ,,240115,AA55343719,,,,,,,,
0402,F,553,LFSB,EGLL,BAW751   ,Z,A320   ,Z  ,GEUUG    ,,240115,AA55353286,,,,,,,,
0404,F,552,LFLL,EHAM,KLM36M   ,Z,B738   ,Z  ,PHBXL    ,,240115,AA55363389,,,,,,,,
0406,F,553,LFBD,LFST,VOE24VH  ,Z,A320   ,Z  ,ECNTM    ,,240115,AA55356383,,,,,,,,
0415,F,1230,HKJK,EBLG,QTR8750  ,Z,B77L   ,Z  ,A7BFN    ,,240115,AA55359569,,,,,,,,
0429,F,621,LFBO,EBBR,BEL76T   ,Z,A319   ,Z  ,OOSSX    ,,240115,AA55359692,,,,,,,,
0430,F,557,LFSB,LEMD,EZS58GL  ,Z,A320   ,Z  ,HBJXL    ,,240115,AA55354907,,,,,,,,
0449,F,638,LFQQ,LFBO,VOE27NN  ,Z,A320   ,Z  ,ECNUP    ,,240115,AA55356384,,,,,,,,
0453,F,624,LFLL,EBBR,BEL94L   ,Z,A320   ,Z  ,OOSNN    ,,240115,AA55359789,,,,,,,,
0455,F,609,LFMN,EGKK,EJU8424  ,Z,A320   ,Z  ,OEICK    ,,240115,AA55354932,,,,,,,,
0461,F,631,LFPG,EPWA,LOT334   ,Z,E195   ,Z  ,SPLNK    ,,240115,AA55353874,,,,,,,,
0463,F,605,LFML,EBCI,RYR43JZ  ,Z,B738   ,Z  ,9HQET    ,,240115,AA55362747,,,,,,,,
0467,F,637,LFPG,LTFM,THY1CR   ,Z,A321   ,Z  ,TCJTN    ,,240115,AA55365088,,,,,,,,
0468,F,713,LFPG,EIDW,AFR1716  ,Z,BCS3   ,Z  ,FHZUD    ,,240115,AA55362869,,,,,,,,
0469,F,729,LFPG,EHAM,AFR59NB  ,Z,BCS3   ,Z  ,FHZUP    ,,240115,AA55362782,,,,,,,,
0470,F,636,LFPG,LOWW,AUA42DW  ,Z,A320   ,Z  ,OELXE    ,,240115,AA55356193,,,,,,,,
0473,F,730,LFMN,LFQQ,EJU923A  ,Z,A320   ,Z  ,OEIJD    ,,240115,AA55355040,,,,,,,,
0491,F,647,LFPG,EGAA,EJU31YP  ,Z,A319   ,Z  ,OELQJ    ,,240115,AA55355253,,,,,,,,
0498,F,705,LFPG,EDDB,AFR1434  ,Z,BCS3   ,Z  ,FHZUI    ,,240115,AA55363332,,,,,,,,
0499,F,639,LFPG,EKCH,AFR1750  ,Z,BCS3   ,Z  ,FHZUU    ,,240115,AA55363331,,,,,,,,
0511,F,639,LFPB,EFRO,N900BT   ,Z,C25C   ,Z  ,N900BT   ,,240115,AA55309822,,,,,,,,
0512,F,633,LFMN,EBAW,NJE175M  ,Z,CL35   ,Z  ,CSCHF    ,,240115,AA55357362,,,,,,,,
0518,F,647,LFMN,EGLL,BAW341   ,Z,A20N   ,Z  ,GTTNE    ,,240115,AA55354069,,,,,,,,
0521,F,1336,HKJK,EGLL,KQA100   ,Z,B788   ,Z  ,5YKZG    ,,240115,AA55361162,,,,,,,,
0532,F,657,LFMN,EGLF,ECA2HL   ,Z,C25A   ,Z  ,DIOHL    ,,240115,AA55362939,,,,,,,,
0533,F,700,LFRI,EBCI,FHJPH    ,Z,C510   ,Z  ,FHJPH    ,,240115,AA55330509,,,,,,,,
0538,F,648,LFST,LEBL,VOE2326  ,Z,A320   ,Z  ,ECNOM    ,,240115,AA55356923,,,,,,,,
0544,F,712,LFPO,LIRP,EJU75AP  ,Z,A320   ,Z  ,OEIVT    ,,240115,AA55355673,,,,,,,,
0550,F,708,LFLU,EBBR,FHMAU    ,Z,E50P   ,Z  ,FHMAU    ,,240115,AA55355526,,,,,,,,
0555,F,659,LFPB,EDHL,OYO4     ,Z,P180   ,Z  ,FHANE    ,,240115,AA55353084,,,,,,,,
0556,F,752,LFLB,EHAM,PEA301   ,Z,E55P   ,Z  ,FHIPE    ,,240115,AA55333220,,,,,,,,
0567,F,731,LFPG,OTHH,QTR60Y   ,Z,B77W   ,Z  ,A7BET    ,,240115,AA55360255,,,,,,,,
0568,F,715,LFOB,LROP,RYR46SW  ,Z,B38M   ,Z  ,9HVUD    ,,240115,AA55363721,,,,,,,,
0574,F,724,LFBO,EDHI,BGA113H  ,Z,A337   ,Z  ,FGXLH    ,,240115,AA55359976,,,,,,,,
0584,F,814,LFPG,ZBAA,AFR6728  ,Z,B77L   ,Z  ,FGUOB    ,,240115,AA55365436,,,,,,,,
0589,F,754,LFPG,EDDS,AFR14MQ  ,Z,E170   ,Z  ,FHBXM    ,,240115,AA55355805,,,,,,,,
0590,F,803,LFPG,EDDN,AFR19BU  ,Z,E170   ,Z  ,FHBXE    ,,240115,AA55346114,,,,,,,,
0604,F,739,LFLL,LFST,AFR1696  ,Z,E170   ,Z  ,FHBXF    ,,240115,AA55346078,,,,,,,,
0605,F,752,LFPG,EDDM,AFR19VC  ,Z,BCS3   ,Z  ,FHZUZ    ,,240115,AA55364509,,,,,,,,
0606,F,801,LFSO,LFOA,CTM3821  ,M,TBM7   ,003,TBN      ,,240115,AA55301915,,,,,,,,
0610,F,750,LFBO,LFSO,NAK083   ,T,BE20   ,Z  ,FHCEV    ,,240115,AA55305046,,,,,,,,
0611,F,735,LFPB,LSZH,NJE069Q  ,Z,C68A   ,Z  ,CSLTL    ,,240115,AA55358129,,,,,,,,
0612,F,740,LFBP,EBBR,OOSDV    ,Z,B350   ,Z  ,OOSDV    ,,240115,AA55269880,,,,,,,,
0618,F,753,LFPG,LSZH,AFR34DA  ,Z,A320   ,Z  ,FHEPG    ,,240115,AA55364595,,,,,,,,
0620,F,756,LFQQ,DAAG,FPO443   ,Z,B738   ,Z  ,FHIXB    ,,240115,AA55365647,,,,,,,,
0626,F,838,LFPG,LIML,AFR41LU  ,Z,BCS3   ,Z  ,FHZUG    ,,240115,AA55371181,,,,,,,,
0636,F,805,LFML,EBBR,BEL1PD   ,Z,A319   ,Z  ,OOSSY    ,,240115,AA55370766,,,,,,,,
0643,F,818,LFPG,OLBA,AFR566   ,Z,A332   ,Z  ,FGZCI    ,,240115,AA55366580,,,,,,,,
0646,F,825,LFPG,EDDH,EWG2P    ,Z,A320   ,Z  ,DAEWU    ,,240115,AA55354363,,,,,,,,
0649,F,812,LFPG,LHBP,AFR71SP  ,Z,A320   ,Z  ,FHEPA    ,,240115,AA55365029,,,,,,,,
0651,F,836,LFLC,LFSB,AZD402F  ,Z,AT45   ,Z  ,HBALN    ,,240115,AA55351595,,,,,,,,
0653,F,900,LFOA,EDNY,CTM1734  ,M,E121   ,003,         ,,240115,AA55303860,,,,,,,,
0654,F,828,LFQQ,LFBD,EJU978X  ,Z,A320   ,Z  ,OEINF    ,,240115,AA55358637,,,,,,,,
0663,F,825,LFPG,LFSB,AFR58YK  ,Z,E190   ,Z  ,FHBLM    ,,240115,AA55346984,,,,,,,,
0664,F,823,LFPG,LIMC,AFR87QE  ,Z,A319   ,Z  ,FGRXF    ,,240115,AA55365091,,,,,,,,
0665,F,819,LFPO,EDDM,DLA94U   ,Z,E195   ,Z  ,IADJX    ,,240115,AA55363507,,,,,,,,
0669,F,910,LFPG,EHAM,KLM24P   ,Z,B739   ,Z  ,PHBXP    ,,240115,AA55364664,,,,,,,,
0678,F,852,LFPG,KATL,DAL83    ,Z,A333   ,Z  ,N818N    ,,240115,AA55369444,,,,,,,,
0683,F,829,LFOB,LROP,WMT6501  ,Z,A21N   ,Z  ,9HWBN    ,,240115,AA55357090,,,,,,,,
0686,F,858,LFPG,EDDH,AFR38HE  ,Z,BCS3   ,Z  ,FHZUV    ,,240115,AA55365278,,,,,,,,
0689,F,821,LFPG,EDDM,DLH95M   ,Z,A320   ,Z  ,DAIUU    ,,240115,AA55358896,,,,,,,,
0690,F,837,LFOB,EPMO,RYR12HC  ,Z,B738   ,Z  ,SPRSP    ,,240115,AA55360808,,,,,,,,
0693,F,836,LFOB,LRCL,WMT841   ,Z,A320   ,Z  ,9HWDC    ,,240115,AA55356946,,,,,,,,
0695,F,901,LFPG,EKCH,AFR67JP  ,Z,BCS3   ,Z  ,FHZUL    ,,240115,AA55365364,,,,,,,,
0699,F,829,LFLL,EDDL,EWG16HT  ,Z,A320   ,Z  ,9HEWH    ,,240115,AA55354707,,,,,,,,
0705,F,837,LFPG,ESSA,AFR31KK  ,Z,A321   ,Z  ,FGTAD    ,,240115,AA55365645,,,,,,,,
0707,F,903,LFPG,LIML,ITY305   ,Z,A319   ,Z  ,EIIMF    ,,240115,AA55359164,,,,,,,,
0710,F,857,LFQQ,LFMN,EJU451R  ,Z,A320   ,Z  ,OEIJD    ,,240115,AA55359084,,,,,,,,
0711,F,920,LFPG,RJTT,AFR282   ,Z,A359   ,Z  ,FHUVG    ,,240115,AA55366264,,,,,,,,
0713,F,911,LFPG,LIMC,EJU84UT  ,Z,A320   ,Z  ,OEIVZ    ,,240115,AA55359216,,,,,,,,
0721,F,852,LFLL,EHAM,AFR23WH  ,Z,E170   ,Z  ,FHBXL    ,,240115,AA55347594,,,,,,,,
0722,F,953,LFPG,EGCC,AFR53DY  ,Z,A320   ,Z  ,FGKXS    ,,240115,AA55365572,,,,,,,,
0728,F,840,LFSB,LEBL,VLG8AJ   ,Z,A320   ,Z  ,ECMKM    ,,240115,AA55358681,,,,,,,,
0730,F,857,LFPG,LROP,AFR13SG  ,Z,A319   ,Z  ,FGRHZ    ,,240115,AA55365915,,,,,,,,
0739,F,851,LFPO,LIRQ,VLG7RJ   ,Z,A319   ,Z  ,ECMIR    ,,240115,AA55358903,,,,,,,,
0740,F,924,LFPG,EPWA,AFR49TJ  ,Z,E190   ,Z  ,FHBLF    ,,240115,AA55347982,,,,,,,,
0741,F,847,LFLL,EGLL,BAW42Y   ,Z,A320   ,Z  ,GEUYD    ,,240115,AA55355985,,,,,,,,
0748,F,925,LFPG,EGPH,AFR16FL  ,Z,BCS3   ,Z  ,FHZUN    ,,240115,AA55365818,,,,,,,,
0749,F,919,LFPG,EGNT,AFR23FB  ,Z,E170   ,Z  ,FHBXA    ,,240115,AA55347970,,,,,,,,
0750,F,913,LFPG,LIRQ,AFR74NR  ,Z,A319   ,Z  ,FGRHY    ,,240115,AA55365841,,,,,,,,
0751,F,920,LFPG,LKPR,AFR78BG  ,Z,BCS3   ,Z  ,FHZUH    ,,240115,AA55365835,,,,,,,,
0761,F,930,LFPG,LSZH,SWR63D   ,Z,A20N   ,Z  ,HBJDA    ,,240115,AA55367822,,,,,,,,
0766,F,921,LFPG,VOMM,AFR108   ,Z,A359   ,Z  ,FHTYN    ,,240115,AA55365879,,,,,,,,
0774,F,918,LFPG,EVRA,BTI69R   ,Z,BCS3   ,Z  ,YLABD    ,,240115,AA55358404,,,,,,,,
0775,F,941,LFPG,LIMC,AFR16RA  ,Z,BCS3   ,Z  ,FHPND    ,,240115,AA55365994,,,,,,,,
0776,F,924,LFPG,LJLJ,AFR87LM  ,Z,E190   ,Z  ,FHBLK    ,,240115,AA55348194,,,,,,,,
0780,F,927,LFPB,EDDM,KAY58    ,Z,GL7T   ,Z  ,DAGLO    ,,240115,AA55372615,,,,,,,,
0788,F,937,LFPB,EDDC,VJH632   ,Z,E35L   ,Z  ,DAERO    ,,240115,AA55357984,,,,,,,,
0789,F,939,LFPG,VOBL,AFR194   ,Z,A332   ,Z  ,FGZCC    ,,240115,AA55369244,,,,,,,,
0790,F,954,LFPG,LOWW,AUA412Y  ,Z,A320   ,Z  ,OELBT    ,,240115,AA55366005,,,,,,,,
0794,F,935,LFPG,EIDW,EIN52X   ,Z,A21N   ,Z  ,EILRF    ,,240115,AA55359813,,,,,,,,
0795,F,923,LFSB,LPPR,EJU85YX  ,Z,A320   ,Z  ,OEIJR    ,,240115,AA55359826,,,,,,,,
0797,F,939,LFPG,EGCC,EZY91BH  ,Z,A320   ,Z  ,GEZWY    ,,240115,AA55357607,,,,,,,,
0807,F,924,LFST,EBBR,AEE2BR   ,Z,A20N   ,Z  ,SXNEF    ,,240115,AA55356302,,,,,,,,
0808,F,956,LFPG,HKJK,AFR814   ,Z,B772   ,Z  ,FGSPN    ,,240115,AA55368196,,,,,,,,
0814,F,1018,LFPG,EPWA,WZZ1354  ,Z,A321   ,Z  ,HALXG    ,,240115,AA55357746,,,,,,,,
0816,F,945,LFPG,VIDP,AFR226   ,Z,A332   ,Z  ,FGZCG    ,,240115,AA55369636,,,,,,,,
0817,F,1014,LFPG,HTZA,AFR876   ,Z,B789   ,Z  ,FHRBA    ,,240115,AA55369026,,,,,,,,
0819,F,936,LFPG,LYBE,ASL94K   ,Z,A320   ,Z  ,YUAPS    ,,240115,AA55361341,,,,,,,,
0825,F,926,LFSB,LFBD,EZS135W  ,Z,A20N   ,Z  ,HBAYO    ,,240115,AA55357776,,,,,,,,
0828,F,1007,LFPG,LBSF,LZB432   ,Z,E190   ,Z  ,LZVAR    ,,240115,AA55373158,,,,,,,,
0830,F,925,LFST,EBBR,ROT371   ,Z,B738   ,Z  ,YRBGL    ,,240115,AA55366480,,,,,,,,
0832,F,929,LFMN,EIDW,RYR42PC  ,Z,B738   ,Z  ,EIDPJ    ,,240115,AA55362290,,,,,,,,
0840,F,945,LFPG,ENBR,AFR29AK  ,Z,BCS3   ,Z  ,FHZUX    ,,240115,AA55366272,,,,,,,,
0844,F,944,LFPG,EGPH,EZY97ET  ,Z,A320   ,Z  ,GEZTV    ,,240115,AA55360008,,,,,,,,
0848,F,942,LFOB,LIRP,RYR47SH  ,Z,B738   ,Z  ,9HQDJ    ,,240115,AA55363526,,,,,,,,
0852,F,925,LFBO,LFST,VOE25WA  ,Z,A319   ,Z  ,ECNDH    ,,240115,AA55359995,,,,,,,,
0860,F,1010,LFPG,EHAM,KLM12P   ,Z,B738   ,Z  ,PHHSE    ,,240115,AA55365080,,,,,,,,
0862,F,1015,LFPG,KDTW,DAL97    ,Z,A333   ,Z  ,N820N    ,,240115,AA55370790,,,,,,,,
0863,F,1000,LFPG,LIRN,EJU84PM  ,Z,A20N   ,Z  ,OELSK    ,,240115,AA55360473,,,,,,,,
0867,F,1001,LFPB,ENBR,N525LW   ,Z,C525   ,Z  ,N525LW   ,,240115,AA55373742,,,,,,,,
0871,F,933,LFMN,EGWU,SCO759R  ,Z,CL35   ,Z  ,9HEDT    ,,240115,AA55353167,,,,,,,,
0874,F,959,LFOB,LRCV,WMT9235  ,Z,A320   ,Z  ,HALYS    ,,240115,AA55358195,,,,,,,,
0875,F,951,LFOB,LWSK,WZZ347   ,Z,A321   ,Z  ,HALXW    ,,240115,AA55359896,,,,,,,,
0877,F,1032,LFPG,FMMI,AFR934   ,Z,A359   ,Z  ,FHTYL    ,,240115,AA55369775,,,,,,,,
0884,F,1017,LFPO,LIRF,WMT5QC   ,Z,A21N   ,Z  ,9HWDW    ,,240115,AA55357185,,,,,,,,
0887,F,948,LFPB,LJLJ,GAC848J  ,Z,C510   ,Z  ,OEFHK    ,,240115,AA55353248,,,,,,,,
0890,F,1007,LFPO,LTFJ,PGT49ZT  ,Z,A21N   ,Z  ,TCRDL    ,,240115,AA55369042,,,,,,,,
0892,F,1001,LFPG,WSSS,SIA335   ,Z,B77W   ,Z  ,9VSNB    ,,240115,AA55369966,,,,,,,,
0899,F,948,LFBO,EDHI,BGA213O  ,Z,A337   ,Z  ,FGXLO    ,,240115,AA55361059,,,,,,,,
0907,F,1010,LFSB,LFPG,AFR29FT  ,Z,E190   ,Z  ,FHBLM    ,,240115,AA55349252,,,,,,,,
0908,F,951,LFPB,LSZH,DAAAY    ,Z,CL60   ,Z  ,DAAAY    ,,240115,AA55349809,,,,,,,,
0910,F,1023,LFPG,EFHK,FIN5TU   ,Z,A321   ,Z  ,OHLZS    ,,240115,AA55362974,,,,,,,,
0912,F,1103,LFPG,EPWA,LOT3NE   ,Z,B38M   ,Z  ,SPLVK    ,,240115,AA55363501,,,,,,,,
0920,F,1012,LFBO,LFJL,TJT32SQ  ,Z,B190   ,Z  ,FGLND    ,,240115,AA55355692,,,,,,,,
0922,F,955,LFMN,EGKK,WUK1773  ,Z,A21N   ,Z  ,GWUKX    ,,240115,AA55358531,,,,,,,,
0929,F,1031,LFPO,LIML,EJU39DU  ,Z,A320   ,Z  ,OEIVF    ,,240115,AA55358990,,,,,,,,
0931,F,1017,LFPG,OBBI,GFA018   ,Z,A21N   ,Z  ,A9CNE    ,,240115,AA55369401,,,,,,,,
0950,F,1024,LFPG,KDFW,AAL49    ,Z,B788   ,Z  ,N880B    ,,240115,AA55370227,,,,,,,,
0951,F,1039,LFPG,LIMC,EJU86DC  ,Z,A320   ,Z  ,OEIJO    ,,240115,AA55358656,,,,,,,,
0953,F,1021,LFSB,GMMN,MAC266   ,Z,A320   ,Z  ,CNNMN    ,,240115,AA55364172,,,,,,,,
0960,F,1016,LFSB,EGLL,BAW73B   ,Z,A320   ,Z  ,GEUYI    ,,240115,AA55360889,,,,,,,,
0971,F,1154,LFST,LPPR,RYR18YR  ,Z,B38M   ,Z  ,EIIFR    ,,240115,AA55374740,,,,,,,,
0973,F,1037,LFPG,LTFM,THY1SF   ,Z,A333   ,Z  ,TCLOF    ,,240115,AA55368793,,,,,,,,
0976,F,1042,LFPG,VABB,AFR218   ,Z,B77W   ,Z  ,FGZNF    ,,240115,AA55370523,,,,,,,,
0977,F,1052,LFPG,LDZA,CTN71F   ,Z,A320   ,Z  ,9ACTK    ,,240115,AA55357999,,,,,,,,
0978,F,1044,LFPG,RCTP,EVA088   ,Z,B77W   ,Z  ,B16737   ,,240115,AA55370185,,,,,,,,
0980,F,1038,LFBD,EBCI,RYR94FF  ,Z,B738   ,Z  ,9HQDG    ,,240115,AA55366651,,,,,,,,
0989,F,1046,LFPG,OERK,SVA144   ,Z,B789   ,Z  ,HZARE    ,,240115,AA55363869,,,,,,,,
0993,F,1125,LFPG,LIRN,AFR96QZ  ,Z,E190   ,Z  ,FHBLD    ,,240115,AA55349895,,,,,,,,
0995,F,1119,LFPG,KJFK,DAL263   ,Z,A339   ,Z  ,N425D    ,,240115,AA55372225,,,,,,,,
0997,F,1036,LFMT,EGKK,EZY50MQ  ,Z,A320   ,Z  ,GEJCV    ,,240115,AA55359162,,,,,,,,
1018,F,1057,LFPO,HECA,TVF38TF  ,Z,B738   ,Z  ,FHTVJ    ,,240115,AA55359445,,,,,,,,
1021,F,1104,LFPG,LIRF,ITY319   ,Z,A20N   ,Z  ,EIINA    ,,240115,AA55359267,,,,,,,,
1022,F,1317,LFSB,EHAM,KLM82K   ,Z,E190   ,Z  ,PHEXA    ,,240115,AA55366453,,,,,,,,
1033,F,1127,LFQQ,DAOO,DAH1079  ,Z,B738   ,Z  ,7TVJN    ,,240115,AA55360509,,,,,,,,
1042,F,1103,LFML,EBBR,BEL8RN   ,Z,A320   ,Z  ,OOSNQ    ,,240115,AA55365374,,,,,,,,
1050,F,1104,LFLB,EGJB,LJC3     ,Z,C55B   ,Z  ,GIPLY    ,,240115,AA55344302,,,,,,,,
1055,F,1112,LFPO,LKPR,TVF4394  ,Z,B738   ,Z  ,FHTVK    ,,240115,AA55359502,,,,,,,,
1060,F,1117,LFJL,GMMN,JAF9BM   ,Z,B737   ,Z  ,OOJAR    ,,240115,AA55375052,,,,,,,,
1066,F,1123,LFPG,LROP,ROT382J  ,Z,B738   ,Z  ,YRBGM    ,,240115,AA55367081,,,,,,,,
1069,F,1058,LFLB,EGNM,VJH236   ,Z,E55P   ,Z  ,DCROG    ,,240115,AA55361509,,,,,,,,
1079,F,1131,LFPG,LGAV,AEE61PG  ,Z,A21N   ,Z  ,SXNAD    ,,240115,AA55358220,,,,,,,,
1096,F,1157,LFPG,LIMF,AFR95HA  ,Z,E190   ,Z  ,FHBLP    ,,240115,AA55350672,,,,,,,,
1097,F,1132,LFMN,EGLL,BAW343E  ,Z,A319   ,Z  ,GDBCJ    ,,240115,AA55362246,,,,,,,,
1099,F,1125,LFPG,EDDM,DLH77T   ,Z,A320   ,Z  ,DAIWG    ,,240115,AA55366413,,,,,,,,
1108,F,1258,LFPG,EKCH,AFR77BW  ,Z,BCS3   ,Z  ,FHZUM    ,,240115,AA55368057,,,,,,,,
1110,F,1129,LFPO,LIRN,EJU61WT  ,Z,A320   ,Z  ,OEIJH    ,,240115,AA55360312,,,,,,,,
1111,F,1133,LFBD,LFSB,EZS354L  ,Z,A20N   ,Z  ,HBAYO    ,,240115,AA55360504,,,,,,,,
1113,F,1348,LFBD,EHAM,KLM38L   ,Z,E295   ,Z  ,PHNXO    ,,240115,AA55367458,,,,,,,,
1115,F,1138,LFPG,ENGM,NOZ1495  ,Z,B738   ,Z  ,LNNIK    ,,240115,AA55362367,,,,,,,,
1120,F,1146,LFPG,ZBAA,CCA876   ,Z,A359   ,Z  ,B32DN    ,,240115,AA55372743,,,,,,,,
1122,F,1138,LFRS,EDDF,DLH55J   ,Z,CRJ9   ,Z  ,DACNF    ,,240115,AA55357298,,,,,,,,
1131,F,1142,LFPG,LCLK,CYP381   ,Z,A320   ,Z  ,5BDDQ    ,,240115,AA55343930,,,,,,,,
1132,F,1138,LFPB,EDNY,DCAWO    ,Z,C56X   ,Z  ,DCAWO    ,,240115,AA55349924,,,,,,,,
1134,F,1133,LFPB,LOWW,DSO15MO  ,Z,F900   ,Z  ,FGKOM    ,,240115,AA55350246,,,,,,,,
1140,F,1150,LFPG,EKCH,SAS64K   ,Z,A20N   ,Z  ,LNRGN    ,,240115,AA55369925,,,,,,,,
1141,F,1148,LFPG,VTBS,THA931   ,Z,B77W   ,Z  ,HSTKR    ,,240115,AA55372445,,,,,,,,
1143,F,1148,LFST,LIRF,VOE87AL  ,Z,A320   ,Z  ,ECNOY    ,,240115,AA55362195,,,,,,,,
1144,F,1215,LFPG,LIRF,AFR26YJ  ,Z,A320   ,Z  ,FHEPH    ,,240115,AA55368443,,,,,,,,
1145,F,1151,LFPG,LIML,AFR58XR  ,Z,BCS3   ,Z  ,FHPNF    ,,240115,AA55372917,,,,,,,,
1146,F,1153,LFPG,EFHK,AFR71TP  ,Z,A320   ,Z  ,FGKXP    ,,240115,AA55368910,,,,,,,,
1149,F,1344,LFQQ,LPPR,RYR3PP   ,Z,B738   ,Z  ,EIGSK    ,,240115,AA55365269,,,,,,,,
1153,F,1219,LFST,LFBO,VOE25UU  ,Z,A319   ,Z  ,ECNDH    ,,240115,AA55362626,,,,,,,,
1154,F,1204,LFPG,LIRQ,AFR15PH  ,Z,A319   ,Z  ,FGRHN    ,,240115,AA55369694,,,,,,,,
1155,F,1316,LFPG,EDDH,AFR1710  ,Z,BCS3   ,Z  ,FHZUP    ,,240115,AA55368442,,,,,,,,
1156,F,1202,LFPG,LIPZ,AFR78RP  ,Z,BCS3   ,Z  ,FHZUY    ,,240115,AA55368371,,,,,,,,
1157,F,1155,LFPG,LIMC,AFR82PV  ,Z,BCS3   ,Z  ,FHPNA    ,,240115,AA55368374,,,,,,,,
1161,F,1352,LFLL,EHAM,KLM1414  ,Z,B739   ,Z  ,PHBXT    ,,240115,AA55368406,,,,,,,,
1167,F,1150,LFPB,LSZS,DCW123   ,Z,GLEX   ,Z  ,9HIRC    ,,240115,AA55364764,,,,,,,,
1176,F,1236,LFPG,LIPE,AFR79AY  ,Z,BCS3   ,Z  ,FHPNG    ,,240115,AA55368622,,,,,,,,
