Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
71837,F,2153,LFPO,LPPR,EJU42VX  ,Z,A320   ,Z  ,OEIVA    ,,240315,AA56928806,,,,,,,,
71839,F,2134,LFBO,LFPG,SWT5614  ,Z,B738   ,Z  ,ECNXV    ,,240315,AA56940317,,,,,,,,
71841,F,2157,LFPG,LEBL,AFR54KA  ,Z,A321   ,Z  ,FGTAZ    ,,240315,AA56938001,,,,,,,,
71843,F,2210,LFRS,LEBL,VLG1HQ   ,Z,A320   ,Z  ,ECMNZ    ,,240315,AA56933174,,,,,,,,
71850,F,2243,LFPG,EDDK,SRR6315  ,Z,B763   ,Z  ,OYSRW    ,,240315,AA56918395,,,,,,,,
71854,F,2207,LFPG,LEBL,VLG7MK   ,Z,A320   ,Z  ,9HGTS    ,,240315,AA56917629,,,,,,,,
71861,F,2201,LFPG,LFBO,AFR7410  ,Z,A321   ,Z  ,FGMZD    ,,240315,AA56938608,,,,,,,,
71871,F,2230,LFMN,OMDW,KPO53    ,Z,GLF4   ,Z  ,N53WG    ,,240315,AA56872333,,,,,,,,
71884,F,1739,LFBP,LFLL,TJT78NL  ,Z,B190   ,Z  ,FGLNH    ,,240315,AA56935206,,,,,,,,
71886,F,2239,LFPG,SCEL,AFR406   ,Z,B772   ,Z  ,FGSPM    ,,240315,AA56942544,,,,,,,,
71887,F,2241,LFPG,SBGR,AFR454   ,Z,A359   ,Z  ,FHTYJ    ,,240315,AA56942493,,,,,,,,
71889,F,2232,LFPG,LPPR,EJU85EU  ,Z,A320   ,Z  ,OEIZQ    ,,240315,AA56928967,,,,,,,,
71904,F,2244,LFBO,EGBB,RYR58GT  ,Z,B38M   ,Z  ,EIIJL    ,,240315,AA56941353,,,,,,,,
71908,F,2309,LFBD,EGCC,RUK2579  ,Z,B738   ,Z  ,GRUKI    ,,240315,AA56930014,,,,,,,,
71910,F,2150,LFSB,EDDP,BCS6RN   ,Z,B752   ,Z  ,OELNX    ,,240315,AA56938828,,,,,,,,
71919,F,1507,LFPO,LFBO,EJU958X  ,Z,A320   ,Z  ,         ,,240314,AA56892530,,,,,,,,
71920,F,1501,LFPO,LFBO,EJU958X  ,Z,A320   ,Z  ,OEIJK    ,,240314,AA56892530,,,,,,,,
71922,F,815,LFMO,LFMV,CTM1365  ,M,AS55   ,003,FAFOR    ,,240315,AA56907711,,,,,,,,
71923,F,924,LFLI,LFGJ,FHVGA    ,Z,BE58   ,Z  ,FHVGA    ,,240315,AA56915311,,,,,,,,
71925,F,1239,LFMV,LFMV,NAK344A  ,T,TB20   ,Z  ,         ,,240315,AA56935983,,,,,,,,
71928,F,1357,LFMD,LFLC,FHCEP    ,Z,TBM8   ,Z  ,FHCEP    ,,240315,AA56851266,,,,,,,,
71930,F,1637,LFMV,LFMV,FGVCL    ,Z,P32R   ,Z  ,         ,,240315,         ,,,,,,,,
71932,F,1811,LFMN,EGLL,BAW70CE  ,Z,A320   ,Z  ,GEUUL    ,,240315,AA56926919,,,,,,,,
71950,F,2109,LFPG,EDDS,AFR1608  ,Z,E190   ,Z  ,FHBLS    ,,240315,AA56915258,,,,,,,,
71975,F,2122,LFPG,LOWW,AFR57ZW  ,Z,A320   ,Z  ,FHEPA    ,,240315,AA56937978,,,,,,,,
71984,F,2147,LFPG,EIDW,AFR63JU  ,Z,BCS3   ,Z  ,FHZUE    ,,240315,AA56938756,,,,,,,,
72096,F,151,FACT,EGLL,BAW58L   ,Z,A35K   ,Z  ,GXWBJ    ,,240316,AA56938716,,,,,,,,
