compare	Code_1	Code_2	Time of departure/entry_1	Time of departure/entry_2	Departure aerodrome_1	Departure aerodrome_2	Arrival aerodrome_1	Arrival aerodrome_2	Flight identification_1	Flight identification_2	Main Exemption code_1	Main Exemption code_2	Type of aircraft_1	Type of aircraft_2	Operator_1	Operator_2	Aircraft Registration_1	Aircraft Registration_2	Comment1_1	Comment1_2	Flight date_1	Flight date_2	IFPLID_1	IFPLID_2	Planned_aerodrome_1	Planned_aerodrome_2	Charging_zone_overflow_1	Charging_zone_overflow_2	Entry_point_1	Entry_point_2	Exit_point_1	Exit_point_2	Sup_exemption_code_1	Sup_exemption_code_2	Source of the Aircraft Address_1	Source of the Aircraft Address_2	24-bit Aircraft Address_1	24-bit Aircraft Address_2	Comment2_1	Comment2_2
0	F	F	509	509	LFBD	LFBD	EHAM	EHAM	KLM76A   	KLM76A   	Z	Z	E295   	E295   	Z  	Z  	PHNXK    	PHNXK    			240316	240316	AA56939171	AA56939171												1.0		486494		
0	F	F	522	522	LFOB	LFOB	LBSF	LBSF	RYR6MB   	RYR6MB   	Z	Z	B738   	B738   	Z  	Z  	EIEVN    	EIEVN    			240316	240316	AA56946860	AA56946860												1.0		4CA9EB		
0	F	F	517	517	LFOB	LFOB	OJAI	OJAI	RYR9352  	RYR9352  	Z	Z	B38M   	B38M   	Z  	Z  	9HVUY    	9HVUY    			240316	240316	AA56946714	AA56946714												1.0		4D2386		
0	F	F	521	521	LFQQ	LFQQ	GCRR	GCRR	VOE27RQ  	VOE27RQ  	Z	Z	A320   	A320   	Z  	Z  	ECNUP    	ECNUP    			240316	240316	AA56941150	AA56941150												1.0		3472C4		
0	F	F	520	520	LFPG	LFPG	EDDM	EDDM	DLH08P   	DLH08P   	Z	Z	A320   	A320   	Z  	Z  	DAIWG    	DAIWG    			240316	240316	AA56950866	AA56950866												1.0		3C66E7		
0	F	F	527	527	LFPG	LFPG	LIRF	LIRF	ITY317   	ITY317   	Z	Z	A21N   	A21N   	Z  	Z  	EIHXB    	EIHXB    			240316	240316	AA56946805	AA56946805												1.0		4CAE18		
0	F	F	522	522	LFRS	LFRS	EHAM	EHAM	KLM1454  	KLM1454  	Z	Z	E295   	E295   	Z  	Z  	PHNXN    	PHNXN    			240316	240316	AA56939381	AA56939381												1.0		4864EB		
0	F	F	531	531	LFPO	LFPO	LKPR	LKPR	TVF13MJ  	TVF13MJ  	Z	Z	B738   	B738   	Z  	Z  	FHTVL    	FHTVL    			240316	240316	AA56941493	AA56941493												1.0		39CEAB		
0	F	F	557	557	LFST	LFST	GCRR	GCRR	VOE21XJ  	VOE21XJ  	Z	Z	A320   	A320   	Z  	Z  	ECMBK    	ECMBK    			240316	240316	AA56941453	AA56941453												1.0		3444C8		
0	F	F	522	522	LFSB	LFSB	EHAM	EHAM	EZS91BZ  	EZS91BZ  	Z	Z	A320   	A320   	Z  	Z  	HBJXP    	HBJXP    			240316	240316	AA56940078	AA56940078												1.0		4B1A29		
0	F	F	541	541	LFSB	LFSB	GMMX	GMMX	EZS94BK  	EZS94BK  	Z	Z	A20N   	A20N   	Z  	Z  	HBAYQ    	HBAYQ    			240316	240316	AA56946332	AA56946332												1.0		4B0280		
0	F	F	545	545	LFMN	LFMN	EHAM	EHAM	KLM10Z   	KLM10Z   	Z	Z	E295   	E295   	Z  	Z  	PHNXE    	PHNXE    			240316	240316	AA56939701	AA56939701												1.0		486482		
0	F	F	554	554	LFML	LFML	EHAM	EHAM	KLM1264  	KLM1264  	Z	Z	E295   	E295   	Z  	Z  	PHNXS    	PHNXS    			240316	240316	AA56939675	AA56939675												1.0		4864ED		
0	F	F	607	607	LFPG	LFPG	ZSPD	ZSPD	CMA630   	CMA630   	Z	Z	B77L   	B77L   	Z  	Z  	FHMRB    	FHMRB    			240316	240316	AA56950146	AA56950146												1.0		39B221		
0	F	F	558	558	LFML	LFML	EBBR	EBBR	BEL1PD   	BEL1PD   	Z	Z	A319   	A319   	Z  	Z  	OOSSV    	OOSSV    			240316	240316	AA56945049	AA56945049												1.0		44CE76		
0	F	F	600	600	LFSB	LFSB	LEAL	LEAL	EZS40QU  	EZS40QU  	Z	Z	A320   	A320   	Z  	Z  	HBJXR    	HBJXR    			240316	240316	AA56940080	AA56940080												1.0		4B1A2B		
0	F	F	549	549	LFSB	LFSB	LEMG	LEMG	EZS95EG  	EZS95EG  	Z	Z	A320   	A320   	Z  	Z  	HBJXO    	HBJXO    			240316	240316	AA56945553	AA56945553												1.0		4B1A28		
