Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
12099,F,746,LFLN,LFQG,NAK715   ,T,BE58   ,Z  ,FGNSC    ,,240321,AA57076819,,,,,,,393642,,NAK715,IX ,BE58/L,SBDFGRYZ/EB1 ,LFLN0745 ,N0191F070 MOU A3 NEV ,LFQG0024 LFLX ,"DOF/240321 EET/LFFF0003 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGNSC RMK/CREW CONTACT 0033663061312 FILED BY 00441273782130 SUR/260B TALT/LFLC)
",LYON,False,749.0,393642,BE58
12100,F,910,LFQG,LFLB,NAK715   ,T,BE58   ,Z  ,FGNSC    ,,240321,AA57094346,,,,,,,393642,,NAK715,IX ,BE58/L,SBDFGRYZ/EB1 ,LFQG0910 ,N0188F090 NEV R31 OLUGI/N0180F120 R31 TIS H38 MEBAK ,LFLB0057 LFLS ,"DOF/240321 EET/LFMM0018 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGNSC RMK/CREW CONTACT 0033663061312 FILED BY 00441273782130 SUR/260B)
",PARI,False,749.0,393642,BE58
12101,F,1313,LFLB,LFMH,NAK715   ,T,BE58   ,Z  ,FGNSC    ,,240321,AA57094732,,,,,,,393642,,NAK715,IX ,BE58/L,SBDFGRYZ/EB1 ,LFLB1300 ,N0173F070 MEBAK ,LFMH0023 LFLN ,"DOF/240321 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGNSC RMK/CREW CONTACT 0033663061312 FILED BY 00441273782130 SUR/260B)
",LYON,False,910.0,393642,BE58
12102,F,1335,LFMH,LFLN,NAK715   ,T,BE58   ,Z  ,FGNSC    ,,240321,AA57094834,,,,,,,      ,,NAK715,IX ,BE58/L,SBDFGRYZ/EB1 ,LFMH1335 ,N0190F070 BELEP A3 ONZON ,LFLN0019 LFLC ,"DOF/240321 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGNSC RMK/CREW CONTACT 0033663061312 FILED BY 00441273782130 SUR/260B)
",LYON,False,910.0,393642,BE58
12103,F,805,LFLN,LFGJ,NAK730   ,T,BE58   ,Z  ,FGNSN    ,,240321,AA57081838,,,,,,,39364D,,NAK730,IX ,BE58/L,SBDFGRYZ/EB1 ,LFLN0740 ,N0172F070 BUSIL A2 AMORO ,LFGJ0032 ,"DOF/240321 EET/LFFF0017 LFEE0020 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGNSN RMK/CREW CONTACT 0033660526564 FILED BY 00441273782130 SUR/260B TALT/LFLC)
",LYON,False,952.0,39364D,BE58
12104,F,935,LFSD,LFLH,NAK730   ,T,BE58   ,Z  ,FGNSN    ,,240321,AA57092461,,,,,,,39364D,,NAK730,IX ,BE58/L,SBDFGRYZ/EB1 ,LFSD0920 ,N0180F040 DJL ,LFLH0009 ,"DOF/240321 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGNSN RMK/CREW CONTACT 0033660526564 FILED BY 00441273782130 SUR/260B)
",BALE,False,952.0,39364D,BE58
12105,F,840,LFGJ,LFSD,NAK730A  ,T,BE58   ,Z  ,FGNSN    ,,240321,AA57081926,,,,,,,      ,,NAK730A,IX ,BE58/L,SBDFGRYZ/EB1 ,LFGJ0830 ,N0250F040 DJL ,LFSD0007 ,"DOF/240321 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGNSN RMK/CREW CONTACT 0033660526564 FILED BY 00441273782130 SUR/260B)
",BALE,False,847.0,39364D,BE58
12106,F,1021,LFLH,LFHY,NAK730A  ,T,BE58   ,Z  ,FGNSN    ,,240321,AA57092490,,,,,,,39364D,,NAK730A,IX ,BE58/L,SBDFGRYZ/EB1 ,LFLH0950 ,N0180F080 CACHI G21 MOU ,LFHY0025 ,"DOF/240321 EET/LFFF0004 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGNSN RMK/CREW CONTACT 0033660526564 FILED BY 00441273782130 SUR/260B)
",BALE,False,847.0,39364D,BE58
12107,F,818,LFLN,LFSD,NAK744   ,T,TB20   ,Z  ,FGMQN    ,,240321,AA57079036,,,,,,,39320D,,NAK744,IX ,TB20/L,SBDFGRYZ/EB2 ,LFLN0730 ,N0152F070 MOU G21 KASON B37 DJL ,LFSD0049 ,"DOF/240321 EET/LFFF0005 LFEE0032 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGMQN RMK/CREW CONTACT 0033686082636 FILED BY 00441273782130 SUR/260B TALT/LFLC)
",LYON,False,818.0,39320D,TB20
12108,F,900,LFSD,LFGJ,NAK744   ,T,TB20   ,Z  ,FGMQN    ,,240321,AA57079198,,,,,,,      ,,NAK744,IX ,TB20/L,SBDFGRYZ/EB2 ,LFSD0830 ,N0140F040 DJL ,LFGJ0008 ,"DOF/240321 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGMQN RMK/CREW CONTACT 0033686082636 FILED BY 00441273782130 SUR/260B)
",BALE,False,818.0,39320D,TB20
