FLPL_CALL_SIGN,FLPL_AIRC_TYPE,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,MODES_ADRESS,FILE_DATE,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Type of aircraft,Main Exemption code,Aircraft Registration,IFPLID,Mode S,Type Avion Survol
TJT71JD,B190,LFLL,LFBP,3981E4,2024-03-18,520.0,LFLL,LFBP,B190,Z,FHAPE    ,AA56998944,,B190
ARG1140,A332,SAEZ,LIRF,E07246,2024-03-18,1351.0,SAEZ,LIRF,A332,Z,LVGIF    ,AA57003200,,A332
ARG1140,A332,SAEZ,LIRF,E07246,2024-03-20,1406.0,SAEZ,LIRF,A332,Z,LVGIF    ,AA57057155,,A332
FMY88A5,AS55,LFLY,LFMV,3AABCC,2024-03-18,1455.0,LFMV,LFMC,AS55,M,FMAYK    ,AA56933722,,AS55
FMY88A5,AS55,LFMC,LFMV,3AABCC,2024-03-18,1455.0,LFMV,LFMC,AS55,M,FMAYK    ,AA56933722,,AS55
HBFVD,PC12,LSZS,LFLJ,4B0F59,2024-03-18,1627.0,LFLJ,LSGG,PC12,Z,HBFVD    ,AA56993453,,PC12
HBFVD,PC12,LFLJ,LSGG,4B0F59,2024-03-18,1627.0,LFLJ,LSGG,PC12,Z,HBFVD    ,AA56993453,,PC12
HBFVD,PC12,LSZS,LFLJ,4B0F59,2024-03-21,1511.0,LFLJ,LSZH,PC12,Z,HBFVD    ,AA57079084,,PC12
HBFVD,PC12,LFLJ,LSZH,4B0F59,2024-03-21,1511.0,LFLJ,LSZH,PC12,Z,HBFVD    ,AA57079084,,PC12
FGLAT,,,,392C13,2024-03-18,1305.0,LFBT,LFBT,TBM7,Z,FGLAT    ,         ,,TBM7
FGLAT,,,,392C13,2024-03-21,1000.0,LFBT,LFBT,TBM7,Z,FGLAT    ,         ,,TBM7
N77SZ,PA34,LFLP,LFAT,AA6856,2024-03-18,1205.0,LFAT,LFAT,PA34,Z,N77SZ    ,         ,,PA34
CTM2073,A400,LFOJ,EFRO,3B776E,2024-03-18,809.0,LFOJ,EFRO,A400,M,FRBAE    ,AA56933416,,A400
CTM2073,A400,EFRO,LFBM,3B776E,2024-03-18,809.0,LFOJ,EFRO,A400,M,FRBAE    ,AA56933416,,A400
JFA11P,PC12,LFLI,LFMS,4D02D8,2024-03-18,1618.0,LFLI,LFMS,PC12,Y,LXRUM    ,AA56993061,,PC12
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1056.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57013017,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1255.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56989452,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1412.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56992916,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1056.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57013017,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1255.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56989452,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1412.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56992916,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1056.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57013017,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1255.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56989452,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1412.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56992916,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1056.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57013017,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1255.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56989452,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1412.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56992916,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1056.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57013017,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1255.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56989452,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-18,1412.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA56992916,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-19,1302.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57020602,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-19,1517.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57042334,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-19,1302.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57020602,,EC35
FHBOI,EC35,LFBU,LFBU,3985C8,2024-03-19,1517.0,LFBU,LFBU,EC35,Z,FHBOI    ,AA57042334,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,940.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57095484,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,1328.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57083614,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,1537.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57081280,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,940.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57095484,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,1328.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57083614,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,1537.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57081280,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,940.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57095484,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,1328.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57083614,,EC35
FHBOI,EC35,LFBU,LFBL,3985C8,2024-03-21,1537.0,LFBL,LFBU,EC35,T,FHBOI    ,AA57081280,,EC35
