(LF142220523NOR.                              
0060F1957LFPGLROPAFR1088  ZA319   Z  FGRHZ                         220523AA47766428                                       13944F9                                                                            
0061F2100LFPGZSPDAFR116   ZB772   Z  FGSPO                                                                                13949EE                                                                            
0062F1751LFPGEFHKAFR1176  ZBCS3   Z  FHZUI                         220523AA47764659                                       139E688                                                                            
0063F1441LFPGDTTAAFR1184  ZB737   Z  FGZTP                         220523AA47762282                                       139666F                                                                            
0064F0645LFPGLIMCAFR11ET  ZA320   Z  FGKXL                         220523AA47750485                                       1392AEB                                                                            
0065F0628LFLLLFRNAFR11FL  ZE170   Z  FHBXA                         220523AA47724789                                       13986E0                                                                            
0066F1821LFLWLFPOAFR11VZ  ZAT45   Z  FHLIA                         220523AA47742946                                       139AD00                                                                            
0067F0954LFPGLFMLAFR11XR  ZA321   Z  FGMZD                         220523AA47752518                                       1393323                                                                            
0068F1437LFPGZBAAAFR128   ZB789   Z  FHRBH                                                                                139C427                                                                            
0069F0749LFPGDTTAAFR1284  ZA320   Z  FGKXM                         220523AA47751346                                       1392AEC                                                                            
0070F1039LFPGENGMAFR12FY  ZA320   Z  FHEPF                         220523AA47753407                                       13991E5                                                                            
0071F1449LFLLLFRNAFR12LB  ZE170   Z  FHBXL                         220523AA47735702                                       13986EB                                                                            
0072F1826LFLLLFRSAFR12MA  ZE190   Z  FHBLH                         220523AA47740572                                       1398567                                                                            
0073F1035LFPOLFLWAFR12RH  ZAT45   Z  FHLIA                         220523AA47744368                                       139AD00                                                                            
0074F1955LFPGLEMGAFR12YT  ZA320   Z  FHEPJ                         220523AA47766262                                       13991E9                                                                            
0075F0539LFPGLOWWAFR1308  ZBCS3   Z  FHZUI                         220523AA47747067                                       139E688                                                                            
0076F1354LFPGDNMMAFR132   ZA332   Z  FGZCB                                                                                1396441                                                                            
0077F1930LFPGLIPZAFR1326  ZBCS3   Z  FHZUM                         220523AA47766544                                       139E68C                                                                            
0078F0629LFPGEDDVAFR1338  ZE170   Z  FHBXN                         220523AA47725402                                       13986ED                                                                            
0079F1958LFPGDAAGAFR1354  ZA320   Z  FGKXI                         220523AA47766817                                       1392AE8                                                                            
0080F1206LFPGKORDAFR136   ZB789   Z  FHRBF                         220523AA47760214                                       139C425                                                                            
0081F1920LFPGEGLLAFR1380  ZBCS3   Z  FHZUS                         220523AA47766251                                       139E692                                                                            
0082F0944LFPGLTFMAFR1390  ZA321   Z  FGTAU                         220523AA47758544                                       1394C14                                                                            
0083F1717LFPGLFMNAFR13HM  ZA321   Z  FGTAQ                         220523AA47762724                                       1394C10                                                                            
0084F1311LFMLLFLLAFR13HV  ZE170   Z  FHBXE                         220523AA47733926                                       13986E4                                                                            
0085F1231LFPOLFKBAFR13MT  ZA320   Z  FGKXG                         220523AA47755110                                       1392AE6                                                                            
0086F1920LFPGLFRBAFR13PC  ZA319   Z  FGRXF                         220523AA47766310                                       13946E5                                                                            
0087F0806LFLLLFPGAFR13SP  ZA320   Z  FHEPF                         220523AA47750292                                       13991E5                                                                            
0088F1653LFPGLIRQAFR13TN  ZA319   Z  FGRXK                         220523AA47762857                                       13946EA                                                                            
0089F1124LFPGLDZAAFR13UU  ZE190   Z  FHBLB                         220523AA47731360                                       1398561                                                                            
0090F0839LFLLLFPGAFR13XN  ZA321   Z  FGMZE                         220523AA47751082                                       1393324                                                                            
0091F1918LFPGLEMDAFR1400  ZBCS3   Z  FHZUU                         220523AA47766151                                       139E694                                                                            
0092F1325LFPGEDDLAFR1406  ZE190   Z  FHBLM                         220523AA47733905                                       139856C                                                                            
0093F0914LFPGKDFWAFR146   ZB789   Z  FHRBD                         220523AA47754651                                       139C423                                                                            
0094F0439LFRSLFLLAFR1483  ZE190   Z  FHBLH                         220523AA47721690                                       1398567                                                                            
0095F1449LFPGLEBLAFR14EY  ZA321   Z  FGTAJ                         220523AA47758484                                       1394C09                                                                            
0096F2107LFPGEGBBAFR14GB  ZE190   Z  FHBLI                         220523AA47742432                                       1398568                                                                            
0097F0535LFBOLFPOAFR14XQ  ZA318   Z  FGUGR                         220523AA47747337                                       13950D1                                                                            
0098F2004LFPGLIMFAFR1502  ZE170   Z  FHBXJ                         220523AA47742664                                       13986E9                                                                            
0099F1319LFBDLFLLAFR1513  ZA319   Z  FGRHB                         220523AA47756893                                       13944E1                                                                            
0100F0450LFMLLFLLAFR1539  ZE170   Z  FHBXM                         220523AA47722317                                       13986EC                                                                            
0101F1502LFLLLFMLAFR1540  ZE170   Z  FHBXI                         220523AA47736193                                       13986E8                                                                            
0102F0659LFLLLFBPAFR1572  ZE170   Z  FHBXI                         220523AA47725964                                       13986E8                                                                            
0103F1414LFPGLEBBAFR1576  ZE190   Z  FHBLR                         220523AA47734802                                       1398571                                                                            
0104F1311LFPGDTTAAFR1584  ZA319   Z  FGRHF                         220523AA47756069                                       13944E5                                                                            
0105F0444LFBZLFLLAFR1587  ZE170   Z  FHBXD                         220523AA47722000                                       13986E3                                                                            
0106F1916LFLLLFBZAFR1592  ZE170   Z  FHBXD                         220523AA47741585                                       13986E3                                                                            
0107F1736LFPOLFMNAFR15GN  ZA320   Z  FGKXG                         220523AA47766991                                       1392AE6                                                                            
0108F2011LFPGEGCCAFR15RA  ZA319   Z  FGRHF                         220523AA47766983                                       13944E5                                                                            
0109F1435LFPGEDDBAFR15RE  ZA320   Z  FGKXY                         220523AA47758847                                       1392AF8                                                                            
0110F0838LFRSLFPGAFR15RP  ZA321   Z  FGTAP                         220523AA47750990                                       1394C0F                                                                            
0111F1509LFLLLFBPAFR15UW  ZE170   Z  FHBXB                         220523AA47736190                                       13986E1                                                                            
0112F1707LFPGLIMLAFR15WW  ZA320   Z  FHEPH                         220523AA47763071                                       13991E7                                                                            
0113F1923LFPGEDDHAFR1610  ZBCS3   Z  FHZUV                         220523AA47766174                                       139E695                                                                            
0114F1149LFPGLPPTAFR1624  ZA321   Z  FGTAD                         220523AA47754589                                       1394C03                                                                            
0115F1509LFPGVTBSAFR166   ZB789   Z  FHRBJ                                                                                139C429                                                                            
0116F0418LFRNLFLLAFR1677  ZE170   Z  FHBXA                         220523AA47721430                                       13986E0                                                                            
0117F0526LFSTLFLLAFR1689  ZE170   Z  FHBXB                         220523AA47722308                                       13986E1                                                                            
0118F0646LFLLLFSTAFR1696  ZE170   Z  FHBXB                         220523AA47725385                                       13986E1                                                                            
0119F0554LFPGEDDBAFR16ER  ZA320   Z  FGKXU                         220523AA47747661                                       1392AF4                                                                            
0120F0821LFBDLFPGAFR16QP  ZA319   Z  FGRHN                         220523AA47750820                                       13944ED                                                                            
0121F0910LFMTLFPGAFR16ZK  ZA319   Z  FGRHK                         220523AA47750727                                       13944EA                                                                            
0122F1845LFLLLFMNAFR1700  ZA319   Z  FGRHB                         220523AA47770117                                       13944E1                                                                            
0123F1256LFBOLFLLAFR1707  ZE170   Z  FHBXA                         220523AA47733898                                       13986E0                                                                            
0124F1936LFPGLIMLAFR1732  ZBCS3   Z  FHZUF                         220523AA47766140                                       139E685                                                                            
0125F1417LFPGMMMXAFR174   ZB789   Z  FHRBE                                                                                139C424                                                                            
0126F1303LFPGDAAGAFR1754  ZA320   Z  FGKXN                         220523AA47756330                                       1392AED                                                                            
0127F1944LFPGGMMXAFR1776  ZA320   Z  FHEPA                         220523AA47766258                                       13991E0                                                                            
0128F1028LFPGMMMXAFR178   ZB77W   Z  FGSQM                                                                                1394A0C                                                                            
0129F1825LFSBLFPGAFR17HM  ZE190   Z  FHBLJ                         220523AA47739514                                       1398569                                                                            
0130F1205LFPGLIPEAFR17HP  ZA321   Z  FGTAM                         220523AA47754735                                       1394C0C                                                                            
0131F0800LFPGEPWAAFR17JX  ZBCS3   Z  FHZUQ                         220523AA47750039                                       139E690                                                                            
0132F1919LFPGEDDMAFR17QY  ZBCS3   Z  FHZUO                         220523AA47766162                                       139E68E                                                                            
